trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",25,0,7.536487790252158,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,14,-8.452132489690353,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",25,8,-59.577196402160496,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 2}",1
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,12,-27.844129845442303,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",30,8,-8.17285450288136,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",30,17,-40.64307252214265,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",25,0,-69.13777046531796,"{0: 19, 1: 4, 2: 0, 3: 0, 4: 2}",0
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",25,3,4.506800582870432,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",25,0,-3.8789274089688712,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,14,7.477595001285993,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",20,5,-9.011402862567532,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,0,-59.56252878826565,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",20,9,0.8605011101672475,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,12,3.074329514155833,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",20,15,2.4825739410770358,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",25,15,-6.768873151122244,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",35,20,-17.531789835289924,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,8,-2.583525442806856,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",35,17,8.636636586766416,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",30,0,-16.26235719664209,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",20,0,-41.77075201558198,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,15,9.536849939350239,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",20,12,6.917707107228295,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,14,12.376828533872104,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",20,1,14.406447737635675,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,6,4.778896673520828,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",25,10,9.205780035408273,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",25,11,16.619016473088372,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",20,9,5.379448577810639,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,5,6.42083665907684,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",20,9,5.9100197099507294,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",30,18,3.947287630357799,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",25,20,9.0373017367737,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,0,-31.23879753703605,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",25,4,-15.06364841757432,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",20,12,-5.627317861526081,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",25,0,6.6160282549979215,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,0,30.441809692641954,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",25,14,12.890105031319436,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",20,11,-68.2935357737351,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",20,0,20.733472041557665,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",30,10,5.208387042706437,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",25,7,7.251693994160629,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,17,15.071429649425347,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",20,10,20.23632358278597,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,12,7.1856246234893035,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",25,10,6.966228190986283,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",20,14,14.251378407174558,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",35,13,-88.58581193314424,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 3}",1
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,13,3.6070924027187816,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",25,13,17.650355049746747,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",20,6,12.018740863461945,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",20,7,14.623375083536438,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",25,9,28.018586715061108,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",25,0,8.552346007205134,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,0,-1.9145527821458765,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",25,4,21.247819685885478,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",20,9,16.26824471110983,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",20,13,13.755582498188225,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",20,13,-8.655880203278393,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",25,17,17.064305711511647,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,3,15.623827503853489,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",25,15,7.4147018021984366,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",25,7,-34.59687901571567,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",25,3,17.399226787826358,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",25,12,23.702898315425454,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",25,8,-37.14920519453271,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,8,21.079214530810294,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",20,15,-2.909379676900452,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",20,10,14.689517648518825,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",25,14,19.986149845703327,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",20,11,15.646639299351692,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",30,13,31.634856260992088,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",25,13,23.299586805987424,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
