trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",20,0,-56.13063101545377,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-32.502271113023895,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",25,14,-56.04838029794018,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,9,-44.04511214885308,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,0,-152.14571441643727,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",30,0,-91.44075064097923,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",25,0,-115.67731967653552,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-64.95308328926363,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",25,2,-118.40341936036543,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,0,-122.77802191263727,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",20,0,-178.40065779946173,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",30,10,-63.69302150224562,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",25,0,-37.467974699688185,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-122.27290511844312,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",35,20,-20.969211072211376,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,1.9200122761479532,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",20,9,3.3149801070463085,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",30,0,-163.82016762779273,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",20,0,-38.37074126719648,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-82.22797654304264,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",25,0,-64.35003807767885,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,6,-28.226586590047873,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",20,0,-122.93757570340259,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-118.83728851673723,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
